R_RESET,51.75,104.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,53.22,15.13,0.00,,SJ
TP1,14.45,68.66,0.00,TPTP20R,TP20R
TP10,99.95,28.44,0.00,TPTP20R,TP20R
TP11,93.95,18.93,0.00,TPTP20R,TP20R
TP12,93.95,15.28,0.00,TPTP20R,TP20R
TP13,21.45,65.70,0.00,TPTP20R,TP20R
TP14,135.45,35.62,0.00,TPTP20R,TP20R
TP15,99.95,47.54,0.00,TPTP20R,TP20R
TP16,106.45,53.46,0.00,TPTP20R,TP20R
TP17,90.45,30.38,0.00,TPTP20R,TP20R
TP2,17.10,67.58,0.00,TPTP20R,TP20R
TP3,129.95,41.50,0.00,TPTP20R,TP20R
TP4,46.45,83.42,0.00,TPTP20R,TP20R
TP5,82.95,31.84,0.00,TPTP20R,TP20R
TP6,16.45,71.26,0.00,TPTP20R,TP20R
TP7,5.10,72.47,0.00,TPTP20R,TP20R
TP8,7.83,72.60,0.00,TPTP20R,TP20R
TP9,90.95,20.02,0.00,TPTP20R,TP20R
U1,17.10,53.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,122.21,48.92,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U3,91.95,46.10,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,138.70,44.92,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,52.33,55.62,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U6,147.51,9.50,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
